Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Application type","Stage of procedure","Cases / Persons",applied
2000,-,-,-,-,G,V,FI,C,109482
2000,-,-,-,-,U,V,FI,P,71089
2000,-,-,-,-,G,V,AR,C,54076
2000,-,-,-,-,G,V,FA,P,33835
2000,-,-,-,-,G,V,FI,P,564487
2000,-,-,-,-,G,V,NA,P,78533
2000,-,-,-,-,G,V,RA,P,39067
2000,-,-,-,-,U,V,FI,C,9025
2000,-,-,-,-,G,N,EO,C,50729
2000,-,-,-,-,G,N,IN,C,40867
2000,-,-,-,-,G,V,AR,P,38659
2000,-,-,-,-,U,V,AR,P,467
2000,-,-,-,-,G,V,JR,C,1920
2001,-,-,-,-,U,V,FI,P,64852
2001,-,-,-,-,G,V,FI,P,325876
2001,-,-,-,-,G,V,AR,C,83068
2001,-,-,-,-,G,V,FI,C,108837
2001,-,-,-,-,G,V,FA,P,39714
2001,-,-,-,-,G,V,AR,P,45675
2001,-,-,-,-,G,V,NA,P,88281
2001,-,-,-,-,G,V,RA,P,31385
2001,-,-,-,-,U,V,FI,C,6076
2001,-,-,-,-,U,V,FA,P,1453
2001,-,-,-,-,G,N,EO,C,60534
2001,-,-,-,-,G,N,IN,C,59421
2001,-,-,-,-,G,V,JR,C,2210
2002,-,-,-,-,U,V,FI,P,36459
2002,-,-,-,-,G,V,AR,C,59672
2002,-,-,-,-,G,V,FI,P,376676
2002,-,-,-,-,G,V,FA,P,55356
2002,-,-,-,-,U,V,FA,P,4863
2002,-,-,-,-,G,V,FI,C,97652
2002,-,-,-,-,G,V,RA,P,22120
2002,-,-,-,-,G,V,NA,P,71109
2002,-,-,-,-,U,V,AR,P,142
2002,-,-,-,-,G,V,AR,P,57348
2002,-,-,-,-,U,V,FI,C,30190
2002,-,-,-,-,G,N,EO,P,74238
2002,-,-,-,-,G,N,IN,C,58401
2002,-,-,-,-,J,V,FI,P,338
2002,-,-,-,-,G,V,JR,C,3075
2003,-,-,-,-,U,V,FI,P,53582
2003,-,-,-,-,G,V,AR,C,49790
2003,-,-,-,-,G,V,FI,P,416910
2003,-,-,-,-,G,V,FA,P,45793
2003,-,-,-,-,G,V,AR,P,73910
2003,-,-,-,-,G,V,NA,P,50546
2003,-,-,-,-,G,V,RA,P,19485
2003,-,-,-,-,J,V,FI,P,399
2003,-,-,-,-,U,V,AR,P,336
2003,-,-,-,-,U,V,JR,P,162
2003,-,-,-,-,U,V,FI,C,3526
2003,-,-,-,-,G,V,JR,P,1018
2003,-,-,-,-,G,N,EO,P,65677
2003,-,-,-,-,G,N,IN,C,43332
2003,-,-,-,-,G,V,FI,C,9310
2003,-,-,-,-,U,V,FA,P,4005
2003,-,-,-,-,G,V,JR,C,2170
2004,-,-,-,-,G,V,AR,C,38029
2004,-,-,-,-,G,V,FI,P,325554
2004,-,-,-,-,G,V,FA,P,55634
2004,-,-,-,-,G,V,AR,P,78600
2004,-,-,-,-,G,V,JR,P,26
2004,-,-,-,-,U,V,FI,P,38336
2004,-,-,-,-,G,V,RA,P,21577
2004,-,-,-,-,G,V,NA,P,35583
2004,-,-,-,-,J,V,FI,P,1395
2004,-,-,-,-,U,V,AR,P,284
2004,-,-,-,-,U,V,FA,P,30589
2004,-,-,-,-,U,V,FA,C,5524
2004,-,-,-,-,G,N,EO,P,17064
2004,-,-,-,-,G,N,IN,C,27906
2004,-,-,-,-,U,V,FI,C,590
2004,-,-,-,-,G,V,FI,C,363
2004,-,-,-,-,J,V,AR,P,390
2004,-,-,-,-,G,V,FA,C,1442
2004,-,-,-,-,G,V,JR,C,1370
2005,-,-,-,-,G,V,AR,C,28010
2005,-,-,-,-,G,V,FI,P,335212
2005,-,-,-,-,G,V,FA,P,52986
2005,-,-,-,-,G,V,AR,P,63625
2005,-,-,-,-,G,V,JR,P,845
2005,-,-,-,-,U,V,FI,P,59026
2005,-,-,-,-,G,V,RA,P,23486
2005,-,-,-,-,G,V,NA,P,28899
2005,-,-,-,-,U,V,AR,P,903
2005,-,-,-,-,U,V,FA,P,26906
2005,-,-,-,-,U,V,FA,C,1253
2005,-,-,-,-,G,N,EO,P,14972
2005,-,-,-,-,G,N,IN,C,24236
2005,-,-,-,-,U,V,FI,C,872
2005,-,-,-,-,G,V,FA,C,1062
2005,-,-,-,-,J,V,FI,P,7932
2005,-,-,-,-,U,V,RA,P,117
2005,-,-,-,-,G,V,FI,C,243
2005,-,-,-,-,G,V,JR,C,2265
2006,-,-,-,-,G,A,AR,C,17895
2006,-,-,-,-,G,N,FI,P,271583
2006,-,-,-,-,G,NR,FA,P,25978
2006,-,-,-,-,G,R,AR,C,39
2006,-,-,-,-,G,A,JR,C,78
2006,-,-,-,-,U,N,FI,P,66527
2006,-,-,-,-,G,A,AR,P,22411
2006,-,-,-,-,U,N,FA,P,7092
2006,-,-,-,-,G,R,AR,P,8921
2006,-,-,-,-,J,N,FI,P,21361
2006,-,-,-,-,G,R,RA,P,17651
2006,-,-,-,-,G,NA,NA,P,21011
2006,-,-,-,-,G,N,FA,P,22297
2006,-,-,-,-,U,R,AR,P,190
2006,-,-,-,-,U,NR,FA,P,13426
2006,-,-,-,-,U,A,AR,P,2114
2006,-,-,-,-,U,A,FA,P,175
2006,-,-,-,-,G,N,EO,P,16784
2006,-,-,-,-,G,N,IN,C,24288
2006,-,-,-,-,G,NR,AR,P,30477
2006,-,-,-,-,J,N,FA,C,2430
2006,-,-,-,-,U,NR,FA,C,79
2006,-,-,-,-,G,R,FA,P,958
2006,-,-,-,-,U,R,RA,P,286
