Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2000,-,-,-,-,G,AR,C,3939,0,21349,1436,26725
2001,-,-,-,-,G,AR,C,8892,0,40060,2015,50972
2002,-,-,-,-,G,AR,C,14070,0,53519,5425,73204
2003,-,-,-,-,G,AR,C,15908,0,67351,4975,88234
2004,-,-,-,-,G,AR,C,11971,0,47039,2566,61576
2005,-,-,-,-,G,AR,C,7067,0,28113,2081,37261
2006,-,-,-,-,G,AR,C,4196,0,13911,998,19150
2007,-,-,-,-,G,AR,C,3887,5,12781,1010,17683
2008,-,-,-,-,G,AR,C,2940,0,9370,918,13228
2009,-,-,-,-,G,AR,C,4678,0,11460,880,17018
2010,-,-,-,-,G,AR,C,563,0,1830,140,2533
2011,-,-,-,-,G,AR,C,4053,52,18985,798,24814
2012,-,-,-,-,G,AR,C,5357,0,8708,758,14823
2013,-,-,-,-,G,AR,C,3204,5,8081,759,12049
2014,-,-,-,-,G,AR,C,2460,0,6711,546,9717
2015,-,-,-,-,G,AR,C,3985,0,7955,756,12696
2016,-,-,-,-,G,AR,C,5038,0,6649,594,12281
2017,-,-,-,-,G,AR,C,5022,0,8531,589,14142
2018,-,-,-,-,G,AR,C,4383,0,6580,541,11504
2019,-,-,-,-,G,AR,C,3974,0,4989,637,9600
2020,-,-,-,-,G,AR,C,1510,0,1871,383,3764
2021,-,-,-,-,G,AR,C,1698,0,1663,506,3867
2022,-,-,-,-,G,AR,C,1758,40,4552,697,7047
2023,-,-,-,-,G,AR,C,625,0,487,89,1201
2000,-,-,-,-,G,AR,P,4326,4525,49907,14364,73122
2001,-,-,-,-,G,AR,P,5283,5287,41948,37850,90382
2002,-,-,-,-,G,AR,P,5827,6874,72857,12632,98199
2003,-,-,-,-,G,AR,P,6682,4567,62157,12920,85416
2004,-,-,-,-,G,AR,P,7426,2817,69216,15758,95255
2005,-,-,-,-,G,AR,P,11319,4557,82552,21872,120300
2006,-,-,-,-,G,AR,P,6612,3071,43291,10204,63179
2007,-,-,-,-,G,AR,P,5872,3859,36495,11114,57340
2008,-,-,-,-,G,AR,P,6337,2565,37112,7213,59274
2009,-,-,-,-,G,AR,P,5162,3422,45383,7458,61425
2010,-,-,-,-,G,AR,P,10001,1594,52066,3663,67323
2011,-,-,-,-,G,AR,P,1225,1725,29289,19104,51280
2012,-,-,-,-,G,AR,P,5792,2939,58258,14056,88635
2013,-,-,-,-,G,AR,P,6229,4671,66861,13322,91083
2014,-,-,-,-,G,AR,P,7868,3764,90085,29146,130863
2015,-,-,-,-,G,AR,P,7277,2884,76238,18062,104461
2016,-,-,-,-,G,AR,P,6947,7810,62456,633761,710974
2017,-,-,-,-,G,AR,P,11929,4608,72767,57265,146569
2018,-,-,-,-,G,AR,P,13127,3044,53133,49938,119242
2019,-,-,-,-,G,AR,P,22473,5271,83088,43457,154291
2020,-,-,-,-,G,AR,P,24947,4943,90714,20743,141348
2021,-,-,-,-,G,AR,P,20472,6351,80826,50095,157744
2022,-,-,-,-,G,AR,P,24907,4448,93802,54186,177343
2023,-,-,-,-,G,AR,P,23489,4445,68951,87019,183904
2000,-,-,-,-,G,BL,C,0,10325,0,1325,11650
2006,-,-,-,-,G,BL,P,4674,0,24651,0,29325
2007,-,-,-,-,G,BL,P,107,4022,570,3512,8211
2000,-,-,-,-,G,CA,P,0,5538,0,0,5538
2001,-,-,-,-,G,CA,P,0,11011,0,0,11011
2002,-,-,-,-,G,CA,P,0,8727,0,0,8727
2003,-,-,-,-,G,CA,P,0,5848,0,0,5848
2004,-,-,-,-,G,CA,P,0,4773,0,0,4773
2000,-,-,-,-,G,EO,C,7303,0,15980,28776,52103
2001,-,-,-,-,G,EO,C,7807,0,14890,21904,44601
2002,-,-,-,-,G,EO,P,8657,0,18364,26164,53185
2003,-,-,-,-,G,EO,P,10896,0,22389,32553,65838
2004,-,-,-,-,G,EO,P,10853,0,20908,32546,64307
2005,-,-,-,-,G,EO,P,10206,0,19243,29848,59297
2006,-,-,-,-,G,EO,P,13241,0,16326,27840,57407
