Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","14/06/2024 12:19"
"Last updated:","14/06/2024 12:19"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Internally displaced persons"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=58mnGB
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.internal-displacement.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,OIP,OOC or RET,RDP"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
2023,Sudan,SDN,-,-,9053000
2023,"Syrian Arab Rep.",SYR,-,-,7248000
2023,"Dem. Rep. of the Congo",COD,-,-,6734000
2023,Colombia,COL,-,-,5077000
2023,Yemen,YEM,-,-,4516000
2023,Afghanistan,AFG,-,-,4187000
2023,Somalia,SOM,-,-,3862000
2023,Ukraine,UKR,-,-,3689000
2023,Nigeria,NGA,-,-,3340000
2023,Ethiopia,ETH,-,-,2852000
2023,Myanmar,MMR,-,-,2625000
2023,"Burkina Faso",BFA,-,-,2063000
2023,Palestinian,PSE,-,-,1710000
2023,Iraq,IRQ,-,-,1124000
2023,"South Sudan",SSD,-,-,1121000
2023,Türkiye,TUR,-,-,1099000
2023,Cameroon,CMR,-,-,1044000
2023,Azerbaijan,AZE,-,-,658000
2023,India,IND,-,-,613000
2023,Mozambique,MOZ,-,-,592000
2023,"Central African Rep.",CAF,-,-,512000
2023,Chad,TCD,-,-,452000
2023,Bangladesh,BGD,-,-,426000
2023,Mexico,MEX,-,-,392000
2023,Niger,NER,-,-,347000
2023,Mali,MLI,-,-,344000
2023,Haiti,HTI,-,-,311000
2023,Georgia,GEO,-,-,311000
2023,Cyprus,CYP,-,-,248000
2023,Guatemala,GTM,-,-,242000
2023,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,210000
2023,Israel,ISR,-,-,200000
2023,Libya,LBY,-,-,119000
2023,Philippines,PHL,-,-,113000
2023,Honduras,HND,-,-,101000
2023,"Bosnia and Herzegovina",BIH,-,-,91000
2023,"Papua New Guinea",PNG,-,-,87000
2023,Peru,PER,-,-,75000
2023,Lebanon,LBN,-,-,74000
2023,"Russian Federation",RUS,-,-,60000
2023,Indonesia,IDN,-,-,55000
2023,"El Salvador",SLV,-,-,49000
2023,"Abyei Area",AB9,-,-,42000
2023,Thailand,THA,-,-,41000
2023,Kenya,KEN,-,-,40000
2023,Pakistan,PAK,-,-,23000
2023,Togo,TGO,-,-,18000
2023,Brazil,BRA,-,-,16000
2023,"Sri Lanka",LKA,-,-,12000
2023,Benin,BEN,-,-,9000
2023,Senegal,SEN,-,-,8000
2023,Burundi,BDI,-,-,8000
2023,Armenia,ARM,-,-,8000
2023,Gambia,GMB,-,-,6000
2023,Uganda,UGA,-,-,5000
2023,Kyrgyzstan,KGZ,-,-,4000
2023,Ghana,GHA,-,-,4000
2023,Madagascar,MDG,-,-,3000
2023,"Sierra Leone",SLE,-,-,3000
2023,"Solomon Islands",SLB,-,-,1000
2023,Nicaragua,NIC,-,-,1000
2023,"South Africa",ZAF,-,-,620
2023,"New Caledonia",NCL,-,-,150
2023,Kazakhstan,KAZ,-,-,120
2023,"North Macedonia",MKD,-,-,110
