Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","13/06/2024 03:14"
"Last updated:","13/06/2024 03:14"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Palestine refugees under UNRWA's mandate"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=73nAsc
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.unrwa.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,OIP,OOC or RET,RDP"
Years:
Origin:
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
1952,-,-,-,-,867458
1953,-,-,-,-,874596
1954,-,-,-,-,895249
1955,-,-,-,-,912425
1956,-,-,-,-,924922
1957,-,-,-,-,967786
1958,-,-,-,-,1070783
1959,-,-,-,-,1103730
1960,-,-,-,-,1136487
1961,-,-,-,-,1161874
1962,-,-,-,-,1189573
1963,-,-,-,-,1228064
1964,-,-,-,-,1262649
1965,-,-,-,-,1300117
1966,-,-,-,-,1330077
1967,-,-,-,-,1213764
1968,-,-,-,-,1375915
1969,-,-,-,-,1409659
1970,-,-,-,-,1445022
1971,-,-,-,-,1487096
1972,-,-,-,-,1523035
1973,-,-,-,-,1554979
1974,-,-,-,-,1596721
1975,-,-,-,-,1652436
1976,-,-,-,-,1684251
1977,-,-,-,-,1730520
1978,-,-,-,-,1778815
1979,-,-,-,-,1821933
1980,-,-,-,-,1863162
1981,-,-,-,-,1894841
1982,-,-,-,-,1941791
1983,-,-,-,-,1991957
1984,-,-,-,-,2067216
1985,-,-,-,-,2119862
1986,-,-,-,-,2172380
1987,-,-,-,-,2232622
1988,-,-,-,-,2301919
1989,-,-,-,-,2376167
1990,-,-,-,-,2466516
1991,-,-,-,-,2586273
1992,-,-,-,-,2727820
1993,-,-,-,-,2913237
1994,-,-,-,-,3093174
1995,-,-,-,-,3246044
1996,-,-,-,-,3368330
1997,-,-,-,-,3469109
1998,-,-,-,-,3573382
1999,-,-,-,-,3677882
2000,-,-,-,-,3806055
2001,-,-,-,-,3926787
2002,-,-,-,-,4025694
2003,-,-,-,-,4136449
2004,-,-,-,-,4232510
2005,-,-,-,-,4349946
2006,-,-,-,-,4448429
2007,-,-,-,-,4562820
2008,-,-,-,-,4671811
2009,-,-,-,-,4766670
2010,-,-,-,-,4691079
2011,-,-,-,-,4797723
2012,-,-,-,-,4919917
2013,-,-,-,-,5030049
2014,-,-,-,-,5149742
2015,-,-,-,-,5241257
2016,-,-,-,-,5340443
2017,-,-,-,-,5442947
2018,-,-,-,-,5545538
2019,-,-,-,-,5629829
2020,-,-,-,-,5703521
2021,-,-,-,-,5792907
2022,-,-,-,-,5887353
2023,-,-,-,-,5936247
