Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","14/06/2024 02:33"
"Last updated:","14/06/2024 02:33"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Palestine refugees under UNRWA's mandate"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=1vxrN5
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.unrwa.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,OIP,OOC or RET,RDP"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
2015,Palestinian,PSE,Jordan,JOR,2144233
2015,Palestinian,PSE,Lebanon,LBN,458369
2015,Palestinian,PSE,"Syrian Arab Rep.",SYR,534654
2015,Palestinian,PSE,"State of Palestine",PSE,2104001
2016,Palestinian,PSE,Jordan,JOR,2175491
2016,Palestinian,PSE,Lebanon,LBN,463664
2016,Palestinian,PSE,"Syrian Arab Rep.",SYR,543014
2016,Palestinian,PSE,"State of Palestine",PSE,2158274
2017,Palestinian,PSE,Jordan,JOR,2206736
2017,Palestinian,PSE,Lebanon,LBN,469555
2017,Palestinian,PSE,"Syrian Arab Rep.",SYR,551873
2017,Palestinian,PSE,"State of Palestine",PSE,2214783
2018,Palestinian,PSE,Jordan,JOR,2242577
2018,Palestinian,PSE,Lebanon,LBN,475075
2018,Palestinian,PSE,"Syrian Arab Rep.",SYR,560139
2018,Palestinian,PSE,"State of Palestine",PSE,2267747
2019,Palestinian,PSE,Jordan,JOR,2272411
2019,Palestinian,PSE,Lebanon,LBN,476033
2019,Palestinian,PSE,"Syrian Arab Rep.",SYR,562312
2019,Palestinian,PSE,"State of Palestine",PSE,2319073
2020,Palestinian,PSE,"State of Palestine",PSE,2348243
2020,Palestinian,PSE,Jordan,JOR,2307011
2020,Palestinian,PSE,Lebanon,LBN,479537
2020,Palestinian,PSE,"Syrian Arab Rep.",SYR,568730
2021,Palestinian,PSE,"State of Palestine",PSE,2400208
2021,Palestinian,PSE,Jordan,JOR,2334789
2021,Palestinian,PSE,Lebanon,LBN,482676
2021,Palestinian,PSE,"Syrian Arab Rep.",SYR,575234
2022,Palestinian,PSE,"State of Palestine",PSE,2454258
2022,Palestinian,PSE,Jordan,JOR,2365090
2022,Palestinian,PSE,Lebanon,LBN,487282
2022,Palestinian,PSE,"Syrian Arab Rep.",SYR,580723
2023,Palestinian,PSE,"State of Palestine",PSE,2482144
2023,Palestinian,PSE,Jordan,JOR,2379525
2023,Palestinian,PSE,Lebanon,LBN,490636
2023,Palestinian,PSE,"Syrian Arab Rep.",SYR,583942
