Year,New applications,Substantive decisions,Rejected decisions,Recognized decisions,Complementary protection,Otherwise closed,Total decisions
2014,1379932,1010226,412064,261394,336768,333527,1343753
2015,2024313,1149626,488800,423371,237455,440314,1589940
2016,1826978,1477485,594081,548403,335001,1318790,2796275
2017,1499626,1428885,720625,460648,247612,494676,1923561
2018,1584142,1067766,592827,326089,148849,483181,1550947
2019,1870476,1144619,603133,417103,123103,476849,1621468
2020,984843,967160,517810,341096,108794,362361,1329521
2021,1401457,1020671,526889,379376,114406,397509,1418180
2022,2574411,1288530,573680,533725,181125,751358,2039888
2023,3580371,1404143,580987,612246,210910,1092543,2496686
