Country,ISO3,Total refugees,Population,HDI,Continent,"Refugees in population, per 1000",HDI Level
Iran,IRN,3764517.0,89172767.0,0.78,Asia,42.21599403773128,high
Türkiye,TUR,3251127.0,85816199.0,0.855,Asia,37.88477044992403,very high
Jordan,JOR,3063591.0,11337052.0,0.736,Asia,270.2281863045173,high
Colombia,COL,2852542.0,52085168.0,0.758,Americas,54.76687720389037,high
Germany,DEU,2593007.0,83294633.0,0.95,Europe,31.130541147831217,very high
Pakistan,PAK,1988231.0,240485658.0,0.54,Asia,8.267565793881978,low
Uganda,UGA,1577498.0,48582334.0,0.55,Africa,32.47060958413402,low
Lebanon,LBN,1279108.0,5353930.0,0.723,Asia,238.9101090227179,high
Russian Federation,RUS,1230131.0,144444359.0,0.821,Europe,8.516296576178512,very high
Chad,TCD,1100921.0,18278568.0,0.394,Africa,60.23015588529692,low
Peru,PER,1050334.0,34352719.0,0.762,Americas,30.574988838583636,high
Ethiopia,ETH,979846.0,126527060.0,0.492,Africa,7.744161604640145,low
Bangladesh,BGD,971984.0,172954319.0,0.67,Asia,5.619888567223349,medium
Poland,POL,971478.0,41026067.0,0.881,Europe,23.679530382476095,very high
Sudan,SDN,922474.0,48109006.0,0.516,Africa,19.174663471533794,low
France,FRA,664366.0,64756584.0,0.91,Europe,10.259435550213706,very high
Brazil,BRA,598846.0,216422446.0,0.76,Americas,2.7670235276797492,high
Syria,SYR,595953.0,23227014.0,0.557,Asia,25.65775351063206,medium
Kenya,KEN,538899.0,55100586.0,0.601,Africa,9.78027710993854,medium
Ecuador,ECU,532340.0,18190484.0,0.765,Americas,29.264751833980885,high
DR Congo,COD,523392.0,102262808.0,0.481,Africa,5.118107063909296,low
Cameroon,CMR,485285.0,28647293.0,0.587,Africa,16.939994993593288,medium
United Kingdom of Great Britain and Northern Ireland,GBR,448620.0,67736802.0,0.94,Europe,6.622987604286367,very high
Chile,CHL,438066.0,19629590.0,0.86,Americas,22.31661486561869,very high
United States of America,USA,409202.0,339996563.0,0.927,Americas,1.203547460566535,very high
Spain,ESP,385701.0,47519628.0,0.911,Europe,8.116667074919022,very high
South Sudan,SSD,381236.0,11088796.0,0.381,Africa,34.38028799519804,low
Czechia,CZE,377120.0,10495295.0,0.895,Europe,35.93229156493457,very high
Italy,ITA,298296.0,58870762.0,0.906,Europe,5.066963461420798,very high
Iraq,IRQ,286480.0,45504560.0,0.673,Asia,6.295632789329245,medium
Niger,NER,269996.0,27202843.0,0.394,Africa,9.925286118072291,low
Austria,AUT,257811.0,8958960.0,0.926,Europe,28.776889281791636,very high
India,IND,252867.0,1428627663.0,0.644,Asia,0.17699993255695484,medium
Egypt,EGY,240507.0,112716598.0,0.728,Africa,2.133731892795416,high
Netherlands (Kingdom of the),NLD,237767.0,17618299.0,0.946,Europe,13.495457194817728,very high
Sweden,SWE,237632.0,10612086.0,0.952,Europe,22.392581439690556,very high
Argentina,ARG,219645.0,45773884.0,0.849,Americas,4.798478538548313,very high
Mexico,MEX,198537.0,128455566.0,0.781,Americas,1.545569461739011,high
Switzerland,CHE,192507.0,8796669.0,0.967,Europe,21.884079075841093,very high
Greece,GRC,192384.0,10341277.0,0.893,Europe,18.603505157051686,very high
United Rep. of Tanzania,TZA,188953.0,67438106.0,0.532,Africa,2.8018728758485594,low
Canada,CAN,169448.0,38781292.0,0.935,Americas,4.36932322935502,very high
Belgium,BEL,167831.0,11686140.0,0.942,Europe,14.361542819100233,very high
Armenia,ARM,150080.0,2777970.0,0.786,Asia,54.025061465746575,high
Malaysia,MYS,135872.0,34308525.0,0.807,Asia,3.9602984972393886,very high
Slovakia,SVK,126866.0,5795199.0,0.855,Europe,21.891569210996895,very high
Dominican Rep.,DOM,122619.0,11332972.0,0.766,Americas,10.819668485901138,high
Rep. of Moldova,MDA,120947.0,3435931.0,0.763,Europe,35.200648674260336,high
Rwanda,RWA,115643.0,14094683.0,0.548,Africa,8.204725143516885,low
Ireland,IRL,113902.0,5056934.0,0.95,Europe,22.52392457564208,very high
Mauritania,MRT,112549.0,4862989.0,0.54,Africa,23.143996418663498,low
Norway,NOR,103606.0,5474360.0,0.966,Europe,18.92568263687445,very high
Algeria,DZA,98590.0,45606480.0,0.745,Africa,2.1617542068583235,high
Bulgaria,BGR,97618.0,6687717.0,0.799,Europe,14.596610472602235,high
Finland,FIN,89869.0,5545474.0,0.942,Europe,16.205828392667605,very high
Romania,ROU,87487.0,19892812.0,0.827,Europe,4.397920213592729,very high
Thailand,THA,87314.0,71801279.0,0.803,Asia,1.2160507614356006,very high
Burundi,BDI,85229.0,13238559.0,0.42,Africa,6.437936334309497,low
Lithuania,LTU,80225.0,2718352.0,0.879,Europe,29.512366316062085,very high
Zambia,ZMB,72411.0,20569737.0,0.569,Africa,3.520268635423,medium
Nigeria,NGA,69940.0,223804632.0,0.548,Africa,0.31250470276236286,low
Denmark,DNK,68912.0,5910913.0,0.952,Europe,11.65843584569761,very high
South Africa,ZAF,67145.0,60414494.0,0.717,Africa,1.1114054849155899,high
Mali,MLI,66443.0,23293698.0,0.41,Africa,2.852402396562366,low
Montenegro,MNE,64733.0,626484.0,0.844,Europe,103.32745928068394,very high
Hungary,HUN,63180.0,10156239.0,0.851,Europe,6.22080673761222,very high
Portugal,PRT,62807.0,10247605.0,0.874,Europe,6.128944275272125,very high
Congo,COG,60637.0,6106869.0,0.593,Africa,9.929310748273789,medium
Panama,PAN,60082.0,4468086.0,0.82,Americas,13.446921120139587,very high
Yemen,YEM,55568.0,34449825.0,0.424,Asia,1.6130125479592423,low
Latvia,LVA,45761.0,1830211.0,0.879,Europe,25.003128054634136,very high
Kazakhstan,KAZ,42685.0,19606634.0,0.802,Asia,2.1770692511524414,very high
Estonia,EST,42005.0,1322765.0,0.899,Europe,31.755451648629954,very high
Costa Rica,CRI,41870.0,5212173.0,0.806,Americas,8.033117856985944,very high
Belarus,BLR,39981.0,9498238.0,0.801,Europe,4.209307031472575,very high
Cyprus,CYP,39044.0,1260138.0,0.907,Asia,30.983908111651264,very high
Burkina Faso,BFA,37735.0,23251485.0,0.438,Africa,1.6229070960413925,low
Malawi,MWI,35201.0,20931751.0,0.508,Africa,1.6817035516999987,low
Afghanistan,AFG,34826.0,42239854.0,0.462,Asia,0.8244820164387879,low
Australia,AUS,34502.0,26439111.0,0.946,Oceania,1.3049606698197984,very high
Central African Rep.,CAF,32913.0,5742316.0,0.387,Africa,5.731659490700268,low
Uruguay,URY,29913.0,3423108.0,0.83,Americas,8.738549879232556,very high
Serbia and Kosovo: S/RES/1244 (1999),SRB,29365.0,7149076.0,0.805,Europe,4.107523825456604,very high
Venezuela,VEN,29336.0,28838499.0,0.699,Americas,1.017251279270811,medium
Togo,TGO,28240.0,9053799.0,0.547,Africa,3.119132642551486,low
Kyrgyzstan,KGZ,27790.0,6735348.0,0.701,Asia,4.125993192927819,high
Georgia,GEO,26019.0,3728282.0,0.814,Asia,6.978817589442,very high
Angola,AGO,25174.0,36684202.0,0.591,Africa,0.6862354536157009,medium
Croatia,HRV,25029.0,4008616.0,0.878,Europe,6.2438008529627185,very high
Djibouti,DJI,23063.0,1136455.0,0.515,Africa,20.293808377806425,low
Japan,JPN,22335.0,123294513.0,0.92,Asia,0.1811516137786278,very high
Guyana,GUY,21695.0,813834.0,0.742,Americas,26.65777050356707,high
Nepal,NPL,19582.0,30896590.0,0.601,Asia,0.633791625548321,medium
North Macedonia,MKD,18898.0,2085679.0,0.765,Europe,9.060838221030178,high
Somalia,SOM,17770.0,18143378.0,0.38,Africa,0.9794207010403466,low
Bolivia,BOL,17220.0,12388571.0,0.698,Americas,1.389990822993225,medium
Luxembourg,LUX,13735.0,654768.0,0.927,Europe,20.97689563326247,very high
Senegal,SEN,11856.0,17763163.0,0.517,Africa,0.6674486970591893,low
Malta,MLT,11724.0,535064.0,0.915,Europe,21.91139751506362,very high
Trinidad and Tobago,TTO,11111.0,1534937.0,0.814,Americas,7.238733576687513,very high
Slovenia,SVN,10525.0,2119674.0,0.926,Europe,4.965386186743811,very high
Papua New Guinea,PNG,10523.0,10329930.0,0.568,Oceania,1.018690349305368,medium
Zimbabwe,ZWE,10114.0,16665409.0,0.55,Africa,0.6068857956021362,low
Tajikistan,TJK,10092.0,10143543.0,0.679,Asia,0.994918639374822,medium
Uzbekistan,UZB,9405.0,35163944.0,0.727,Asia,0.26746146564219303,high
Iceland,ISL,8715.0,375318.0,0.959,Europe,23.22030917781721,very high
Indonesia,IDN,8450.0,277534122.0,0.713,Asia,0.03044670665756912,high
Morocco,MAR,8295.0,37840044.0,0.698,Africa,0.21921221867501,medium
Ghana,GHA,7057.0,34121985.0,0.602,Africa,0.2068168074043758,medium
Paraguay,PRY,5991.0,6861524.0,0.731,Americas,0.8731296429189783,high
Azerbaijan,AZE,5771.0,10412652.0,0.76,Asia,0.5542296045234202,high
Namibia,NAM,5157.0,2604172.0,0.61,Africa,1.9802839443784819,medium
Mozambique,MOZ,5152.0,33897354.0,0.461,Africa,0.15198826433473245,low
Albania,ALB,5079.0,2832439.0,0.789,Europe,1.793154239155724,high
Rep. of Korea,KOR,4053.0,51784059.0,0.929,Asia,0.07826732933391722,very high
Tunisia,TUN,3994.0,12458223.0,0.732,Africa,0.32059146798062615,high
Gambia,GMB,3809.0,2773168.0,0.495,Africa,1.3735193828862875,low
Turkmenistan,TKM,3614.0,6516100.0,0.744,Asia,0.5546262334832185,high
Benin,BEN,2825.0,13712828.0,0.504,Africa,0.2060114806369627,low
Ukraine,UKR,2512.0,36744634.0,0.734,Europe,0.06836372353035276,high
Cote d'Ivoire,CIV,2370.0,28873034.0,0.534,Africa,0.08208351086345828,low
Guinea,GIN,2191.0,14190612.0,0.471,Africa,0.15439785119908853,low
Libya,LBY,1837.0,6888388.0,0.746,Africa,0.2666806805888402,high
New Zealand,NZL,1837.0,5228100.0,0.939,Oceania,0.35137047875901384,very high
United Arab Emirates,ARE,1416.0,9516871.0,0.937,Asia,0.14878839904418165,very high
Israel,ISR,1235.0,9174520.0,0.915,Asia,0.134611947001042,very high
Eswatini,SWZ,1202.0,1210822.0,0.61,Africa,0.9927140405443574,medium
Liberia,LBR,1164.0,5418376.0,0.487,Africa,0.21482451568514255,low
Guatemala,GTM,989.0,18092026.0,0.629,Americas,0.054664966764916216,medium
Philippines,PHL,934.0,117337368.0,0.71,Asia,0.007959953558869668,high
Botswana,BWA,761.0,2675352.0,0.708,Africa,0.2844485510691677,high
Liechtenstein,LIE,597.0,39584.0,0.942,Europe,15.081851253031529,very high
Kuwait,KWT,572.0,4310108.0,0.847,Asia,0.1327112916892106,very high
Saudi Arabia,SAU,477.0,36947025.0,0.875,Asia,0.01291037641054997,very high
Sri Lanka,LKA,377.0,21893579.0,0.78,Asia,0.017219660613735196,high
Bosnia and Herzegovina,BIH,348.0,3210847.0,0.779,Europe,0.10838261679862043,high
Lesotho,LSO,319.0,2330318.0,0.521,Africa,0.13689118824126148,low
Nicaragua,NIC,311.0,7046310.0,0.669,Americas,0.04413657644923371,medium
"China, Hong Kong SAR",HKG,301.0,7491608.0,0.956,Asia,0.04017829016147134,very high
Oman,OMN,300.0,4644384.0,0.819,Asia,0.06459414208644246,very high
China,CHN,296.0,1425671352.0,0.788,Asia,0.00020762148273847057,high
Bahrain,BHR,254.0,1485509.0,0.888,Asia,0.17098516400775762,very high
Belize,BLZ,214.0,410825.0,0.7,Americas,0.5209030609140145,medium
Gabon,GAB,204.0,2436566.0,0.693,Africa,0.08372438916081075,medium
Qatar,QAT,197.0,2716391.0,0.875,Asia,0.07252269647484474,very high
Honduras,HND,182.0,10593798.0,0.624,Americas,0.01717986316144597,medium
Cuba,CUB,136.0,11194449.0,0.764,Americas,0.012148878430729374,high
Eritrea,ERI,119.0,3748902.0,0.493,Africa,0.0317426275746872,low
El Salvador,SLV,106.0,6364942.0,0.674,Americas,0.01665372598839078,medium
Madagascar,MDG,49.0,30325732.0,0.487,Africa,0.0016157895215851673,low
Suriname,SUR,24.0,623236.0,0.69,Americas,0.03850868691795724,medium
Cambodia,KHM,24.0,16944826.0,0.6,Asia,0.0014163615489471535,medium
Guinea-Bissau,GNB,24.0,2150842.0,0.483,Africa,0.011158420748711434,low
Viet Nam,VNM,19.0,98858950.0,0.726,Asia,0.00019219301843687397,high
Saint Kitts and Nevis,KNA,19.0,47755.0,0.838,Americas,0.3978640980002094,very high
Fiji,FJI,15.0,936376.0,0.729,Oceania,0.016019205959998974,high
Mongolia,MNG,10.0,3447156.0,0.741,Asia,0.0029009421099596305,high
Comoros,COM,10.0,852075.0,0.586,Africa,0.01173605609834815,medium
Barbados,BRB,5.0,281996.0,0.809,Americas,0.017730747953871688,very high
Mauritius,MUS,5.0,1300557.0,0.796,Africa,0.003844506622931559,high
