Country of asylum,Country of asylum (ISO),Total refugees,Top origin,Refugees from top origin
Iran,IRN,3764517.0,Afghanistan,3752317.0
Türkiye,TUR,3251127.0,Syrian Arab Rep.,3214780.0
Jordan,JOR,3063591.0,Palestinian,2379525.0
Colombia,COL,2852542.0,Venezuela (Bolivarian Republic of),2852294.0
Germany,DEU,2593007.0,Ukraine,1097503.0
Pakistan,PAK,1988231.0,Afghanistan,1987717.0
Uganda,UGA,1577498.0,South Sudan,923607.0
Lebanon,LBN,1279108.0,Syrian Arab Rep.,784884.0
Russian Federation,RUS,1230131.0,Ukraine,1227554.0
Chad,TCD,1100921.0,Sudan,923323.0
Peru,PER,1050334.0,Venezuela (Bolivarian Republic of),1048528.0
Ethiopia,ETH,979846.0,South Sudan,418231.0
Bangladesh,BGD,971984.0,Myanmar,971964.0
Poland,POL,971478.0,Ukraine,955891.0
Sudan,SDN,922474.0,South Sudan,696246.0
France,FRA,664366.0,Afghanistan,79184.0
Brazil,BRA,598846.0,Venezuela (Bolivarian Republic of),491651.0
Syria,SYR,595953.0,Palestinian,583942.0
Kenya,KEN,538899.0,Somalia,292834.0
Ecuador,ECU,532340.0,Venezuela (Bolivarian Republic of),471420.0
DR Congo,COD,523392.0,Central African Rep.,211706.0
Cameroon,CMR,485285.0,Central African Rep.,353956.0
United Kingdom of Great Britain and Northern Ireland,GBR,448620.0,Ukraine,225497.0
Chile,CHL,438066.0,Venezuela (Bolivarian Republic of),435796.0
United States of America,USA,409202.0,China,61378.0
Spain,ESP,385701.0,Ukraine,191327.0
South Sudan,SSD,381236.0,Sudan,359581.0
Czechia,CZE,377120.0,Ukraine,374247.0
Italy,ITA,298296.0,Ukraine,164667.0
Iraq,IRQ,286480.0,Syrian Arab Rep.,271997.0
Niger,NER,269996.0,Nigeria,200497.0
Austria,AUT,257811.0,Syrian Arab Rep.,87167.0
India,IND,252867.0,Sri Lanka,91166.0
Egypt,EGY,240507.0,Syrian Arab Rep.,153756.0
Netherlands (Kingdom of the),NLD,237767.0,Ukraine,105338.0
Sweden,SWE,237632.0,Syrian Arab Rep.,94873.0
Argentina,ARG,219645.0,Venezuela (Bolivarian Republic of),215857.0
Mexico,MEX,198537.0,Venezuela (Bolivarian Republic of),97498.0
Switzerland,CHE,192507.0,Ukraine,66419.0
Greece,GRC,192384.0,Syrian Arab Rep.,45878.0
United Rep. of Tanzania,TZA,188953.0,Burundi,143028.0
Canada,CAN,169448.0,Ukraine,75055.0
Belgium,BEL,167831.0,Ukraine,75260.0
Armenia,ARM,150080.0,Azerbaijan,143054.0
Malaysia,MYS,135872.0,Myanmar,125698.0
Slovakia,SVK,126866.0,Ukraine,124962.0
Dominican Rep.,DOM,122619.0,Venezuela (Bolivarian Republic of),122025.0
Rep. of Moldova,MDA,120947.0,Ukraine,120564.0
Rwanda,RWA,115643.0,Dem. Rep. of the Congo,66761.0
Ireland,IRL,113902.0,Ukraine,100545.0
Mauritania,MRT,112549.0,Mali,110997.0
Norway,NOR,103606.0,Ukraine,66450.0
Algeria,DZA,98590.0,Western Sahara,90000.0
Bulgaria,BGR,97618.0,Ukraine,68276.0
Finland,FIN,89869.0,Ukraine,63503.0
Romania,ROU,87487.0,Ukraine,81493.0
Thailand,THA,87314.0,Myanmar,83821.0
Burundi,BDI,85229.0,Dem. Rep. of the Congo,84384.0
Lithuania,LTU,80225.0,Ukraine,77340.0
Zambia,ZMB,72411.0,Dem. Rep. of the Congo,57333.0
Nigeria,NGA,69940.0,Cameroon,65793.0
Denmark,DNK,68912.0,Ukraine,35940.0
South Africa,ZAF,67145.0,Somalia,20742.0
Mali,MLI,66443.0,Burkina Faso,29146.0
Montenegro,MNE,64733.0,Ukraine,64640.0
Hungary,HUN,63180.0,Ukraine,57401.0
Portugal,PRT,62807.0,Ukraine,51566.0
Congo,COG,60637.0,Central African Rep.,29280.0
Panama,PAN,60082.0,Venezuela (Bolivarian Republic of),57452.0
Yemen,YEM,55568.0,Somalia,44322.0
Latvia,LVA,45761.0,Ukraine,44307.0
Kazakhstan,KAZ,42685.0,Unknown ,42412.0
Estonia,EST,42005.0,Ukraine,41463.0
Costa Rica,CRI,41870.0,Venezuela (Bolivarian Republic of),23200.0
Belarus,BLR,39981.0,Ukraine,39645.0
Cyprus,CYP,39044.0,Ukraine,19019.0
Burkina Faso,BFA,37735.0,Mali,37425.0
Malawi,MWI,35201.0,Dem. Rep. of the Congo,25684.0
Afghanistan,AFG,34826.0,Pakistan,34791.0
Australia,AUS,34502.0,Ukraine,7472.0
Central African Rep.,CAF,32913.0,Sudan,21816.0
Uruguay,URY,29913.0,Venezuela (Bolivarian Republic of),29402.0
Serbia and Kosovo: S/RES/1244 (1999),SRB,29365.0,Croatia,17074.0
Venezuela,VEN,29336.0,Colombia,29176.0
Togo,TGO,28240.0,Burkina Faso,19327.0
Kyrgyzstan,KGZ,27790.0,Unknown ,27540.0
Georgia,GEO,26019.0,Ukraine,24751.0
Angola,AGO,25174.0,Dem. Rep. of the Congo,22306.0
Croatia,HRV,25029.0,Ukraine,23733.0
Djibouti,DJI,23063.0,Somalia,13452.0
Japan,JPN,22335.0,Myanmar,18263.0
Guyana,GUY,21695.0,Venezuela (Bolivarian Republic of),21668.0
Nepal,NPL,19582.0,Tibetan,12540.0
North Macedonia,MKD,18898.0,Ukraine,18703.0
Somalia,SOM,17770.0,Yemen,10995.0
Bolivia,BOL,17220.0,Venezuela (Bolivarian Republic of),16343.0
Aruba,ABW,17085.0,Venezuela (Bolivarian Republic of),17085.0
Curacao ,CUW,14000.0,Venezuela (Bolivarian Republic of),14000.0
Luxembourg,LUX,13735.0,Ukraine,5365.0
Senegal,SEN,11856.0,Mauritania,11528.0
Malta,MLT,11724.0,Libya,2831.0
Trinidad and Tobago,TTO,11111.0,Venezuela (Bolivarian Republic of),10851.0
Slovenia,SVN,10525.0,Ukraine,9467.0
Papua New Guinea,PNG,10523.0,Indonesia,10478.0
Zimbabwe,ZWE,10114.0,Dem. Rep. of the Congo,8633.0
Tajikistan,TJK,10092.0,Afghanistan,7087.0
Uzbekistan,UZB,9405.0,Afghanistan,9405.0
Iceland,ISL,8715.0,Ukraine,5425.0
Indonesia,IDN,8450.0,Afghanistan,5090.0
Morocco,MAR,8295.0,Syrian Arab Rep.,5777.0
Ghana,GHA,7057.0,Togo,3369.0
Paraguay,PRY,5991.0,Venezuela (Bolivarian Republic of),4675.0
Azerbaijan,AZE,5771.0,Ukraine,4206.0
Namibia,NAM,5157.0,Dem. Rep. of the Congo,4475.0
Mozambique,MOZ,5152.0,Dem. Rep. of the Congo,2967.0
Albania,ALB,5079.0,Ukraine,4959.0
Rep. of Korea,KOR,4053.0,Syrian Arab Rep.,1273.0
Tunisia,TUN,3994.0,Syrian Arab Rep.,3119.0
Gambia,GMB,3809.0,Senegal,3588.0
Turkmenistan,TKM,3614.0,Afghanistan,3609.0
Benin,BEN,2825.0,Central African Rep.,1218.0
Ukraine,UKR,2512.0,Afghanistan,1017.0
Cote d'Ivoire,CIV,2370.0,Liberia,1154.0
Guinea,GIN,2191.0,Sierra Leone,1656.0
Libya,LBY,1837.0,Sudan,975.0
New Zealand,NZL,1837.0,Unknown ,609.0
United Arab Emirates,ARE,1416.0,Iraq,778.0
Israel,ISR,1235.0,Sudan,490.0
Eswatini,SWZ,1202.0,Dem. Rep. of the Congo,530.0
Liberia,LBR,1164.0,Cote d'Ivoire,970.0
Guatemala,GTM,989.0,El Salvador,469.0
Philippines,PHL,934.0,Syrian Arab Rep.,154.0
Botswana,BWA,761.0,Somalia,345.0
Liechtenstein,LIE,597.0,Ukraine,577.0
Kuwait,KWT,572.0,Iraq,223.0
Saudi Arabia,SAU,477.0,Syrian Arab Rep.,317.0
Sri Lanka,LKA,377.0,Pakistan,190.0
Bosnia and Herzegovina,BIH,348.0,Ukraine,185.0
Lesotho,LSO,319.0,Dem. Rep. of the Congo,242.0
Nicaragua,NIC,311.0,El Salvador,210.0
"China, Hong Kong SAR",HKG,301.0,Yemen,45.0
Oman,OMN,300.0,Iraq,282.0
China,CHN,296.0,Somalia,91.0
Bahrain,BHR,254.0,Iraq,240.0
Belize,BLZ,214.0,El Salvador,140.0
Gabon,GAB,204.0,Dem. Rep. of the Congo,69.0
Qatar,QAT,197.0,Iraq,135.0
Honduras,HND,182.0,Nicaragua,142.0
Cuba,CUB,136.0,Western Sahara,61.0
Eritrea,ERI,119.0,Sudan,99.0
El Salvador,SLV,106.0,Honduras,31.0
Cayman Islands,CYM,49.0,Cuba,49.0
Madagascar,MDG,49.0,Pakistan,32.0
Suriname,SUR,24.0,Cuba,12.0
Cambodia,KHM,24.0,Viet Nam,16.0
Guinea-Bissau,GNB,24.0,Sierra Leone,10.0
Viet Nam,VNM,19.0,Sri Lanka,19.0
Saint Kitts and Nevis,KNA,19.0,Cameroon,14.0
Monaco,MCO,17.0,Viet Nam,7.0
Fiji,FJI,15.0,Afghanistan,5.0
Mongolia,MNG,10.0,Afghanistan,5.0
Comoros,COM,10.0,Dem. Rep. of the Congo,5.0
