Location,Country of origin (ISO),IDPs,Population,Internally displaced per 100 people
State of Palestine,PSE,1710000,5371230.0,31.836283309409573
Syrian Arab Republic,SYR,7248000,23227014.0,31.20504426440695
Somalia,SOM,3862000,18143378.0,21.28600308057298
Cyprus,CYP,248000,1260138.0,19.680384211887905
Sudan,SDN,9053000,48109006.0,18.817682493793367
Yemen,YEM,4516000,34449825.0,13.108920001770691
South Sudan,SSD,1121000,11088796.0,10.109303120014111
Ukraine,UKR,3689000,36744634.0,10.039561150615897
Afghanistan,AFG,4187000,42239854.0,9.912439564776905
Colombia,COL,5077000,52085168.0,9.747496638582408
Central African Republic,CAF,512000,5742316.0,8.916263054837108
Burkina Faso,BFA,2063000,23251485.0,8.872551581114067
Georgia,GEO,311000,3728282.0,8.341643684678358
Democratic Republic of the Congo,COD,6734000,102262808.0,6.584994223902008
Azerbaijan,AZE,658000,10412652.0,6.319235483909383
Myanmar,MMR,2625000,54577997.0,4.8096305183204136
Cameroon,CMR,1044000,28647293.0,3.644323392091532
Serbia,SRB,210000,7149076.0,2.9374425450226016
Bosnia and Herzegovina,BIH,91000,3210847.0,2.834143140423695
Haiti,HTI,311000,11724763.0,2.652505641265414
Chad,TCD,452000,18278568.0,2.472841417336413
Iraq,IRQ,1124000,45504560.0,2.470082119242555
Ethiopia,ETH,2852000,126527060.0,2.2540632810088215
Israel,ISR,200000,9174520.0,2.179950558721328
Mozambique,MOZ,592000,33897354.0,1.7464490001195963
Libya,LBY,119000,6888388.0,1.7275449640757752
Nigeria,NGA,3340000,223804632.0,1.4923730443612981
Mali,MLI,344000,23293698.0,1.4767942814404138
Lebanon,LBN,74000,5353930.0,1.3821622621139986
Guatemala,GTM,242000,18092026.0,1.337605860172874
Türkiye,TUR,1099000,85816199.0,1.2806439958963924
Niger,NER,347000,27202843.0,1.2756019655739659
Honduras,HND,101000,10593798.0,0.9533880106077159
Papua New Guinea,PNG,87000,10329930.0,0.8422128707551746
El Salvador,SLV,49000,6364942.0,0.7698420504067437
Mexico,MEX,392000,128455566.0,0.3051638883440831
Armenia,ARM,8000,2777970.0,0.2879800717790329
Bangladesh,BGD,426000,172954319.0,0.24630781264271287
Peru,PER,75000,34352719.0,0.21832332980687785
Gambia,GMB,6000,2773168.0,0.21635905217426427
Togo,TGO,18000,9053799.0,0.19881157070087374
Solomon Islands,SLB,1000,740424.0,0.13505775069419684
Philippines,PHL,113000,117337368.0,0.0963035066544189
Kenya,KEN,40000,55100586.0,0.0725945092489579
Benin,BEN,9000,13712828.0,0.0656319761321297
Burundi,BDI,8000,13238559.0,0.06042953768608804
Kyrgyzstan,KGZ,4000,6735348.0,0.05938817118284014
Thailand,THA,41000,71801279.0,0.05710204688693637
Sri Lanka,LKA,12000,21893579.0,0.05481059081295023
New Caledonia,NCL,150,292991.0,0.051196111825960525
Senegal,SEN,8000,17763163.0,0.045037024093062705
India,IND,613000,1428627663.0,0.042908310952956816
Russian Federation,RUS,60000,144444359.0,0.04153848611007371
Sierra Leone,SLE,3000,8791092.0,0.03412545335664784
Indonesia,IDN,55000,277534122.0,0.019817383031553865
Nicaragua,NIC,1000,7046310.0,0.014191825224833992
Ghana,GHA,4000,34121985.0,0.011722647436835812
Uganda,UGA,5000,48582334.0,0.010291806894250901
Madagascar,MDG,3000,30325732.0,0.00989258890766429
Pakistan,PAK,23000,240485658.0,0.009563979902701724
Brazil,BRA,16000,216422446.0,0.007392948511449686
North Macedonia,MKD,110,2085679.0,0.005274061828306273
South Africa,ZAF,620,60414494.0,0.0010262438016943418
Kazakhstan,KAZ,120,19606634.0,0.0006120377419193932
