Display name,Internally displaced per 100 people
:PS: Palestinian Territories,31.836283309409573
:SY: Syria,31.20504426440695
:SO: Somalia,21.28600308057298
:CY: Cyprus,19.680384211887905
:SD: Sudan,18.817682493793367
:YE: Yemen,13.108920001770691
:SS: South Sudan,10.109303120014111
:UA: Ukraine,10.039561150615897
:AF: Afghanistan,9.912439564776905
:CO: Colombia,9.747496638582408
:CF: Central African Republic,8.916263054837108
:BF: Burkina Faso,8.872551581114067
:GE: Georgia,8.341643684678358
:CD: DR Congo,6.584994223902008
:AZ: Azerbaijan,6.319235483909383
:MM: Myanmar,4.8096305183204136
:CM: Cameroon,3.644323392091532
:RS: Serbia,2.9374425450226016
:BA: Bosnia and Herzegovina,2.834143140423695
:HT: Haiti,2.652505641265414
